sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
1991-10-10;;;;180,92;180,92;180,92;;;;0;
1991-10-09;;;;182,29;182,29;182,29;;;;0;
1991-10-08;;;;181,23;181,23;181,23;;;;0;
1991-10-07;;;;184,22;184,22;184,22;;;;0;
1991-10-04;;;;187,25;187,25;187,25;;;;0;
1991-10-03;;;;188,91;188,91;188,91;;;;0;
1991-10-02;;;;186,31;186,31;186,31;;;;0;
1991-10-01;;;;188,27;188,27;188,27;;;;0;
1991-09-30;;;;188,12;188,12;188,12;;;;0;
1991-09-27;;;;187,40;187,40;187,40;;;;0;
1991-09-26;;;;190,27;190,27;190,27;;;;0;
1991-09-25;;;;194,01;194,01;194,01;;;;0;
1991-09-24;;;;195,06;195,06;195,06;;;;0;
1991-09-23;;;;195,73;195,73;195,73;;;;0;
1991-09-20;;;;195,34;195,34;195,34;;;;0;
1991-09-19;;;;196,63;196,63;196,63;;;;0;
1991-09-18;;;;198,33;198,33;198,33;;;;0;
1991-09-17;;;;199,00;199,00;199,00;;;;0;
1991-09-16;;;;198,59;198,59;198,59;;;;0;
1991-09-13;;;;200,36;200,36;200,36;;;;0;
1991-09-12;;;;201,81;201,81;201,81;;;;0;
1991-09-11;;;;200,13;200,13;200,13;;;;0;
1991-09-10;;;;198,23;198,23;198,23;;;;0;
1991-09-09;;;;195,46;195,46;195,46;;;;0;
1991-09-06;;;;194,84;194,84;194,84;;;;0;
1991-09-05;;;;195,87;195,87;195,87;;;;0;
1991-09-04;;;;195,68;195,68;195,68;;;;0;
1991-09-03;;;;199,55;199,55;199,55;;;;0;
1991-09-02;;;;200,92;200,92;200,92;;;;0;
1991-08-30;;;;201,94;201,94;201,94;;;;0;
1991-08-29;;;;201,24;201,24;201,24;;;;0;
1991-08-28;;;;199,87;199,87;199,87;;;;0;
1991-08-27;;;;198,60;198,60;198,60;;;;0;
1991-08-26;;;;200,49;200,49;200,49;;;;0;
1991-08-23;;;;197,26;197,26;197,26;;;;0;
1991-08-22;;;;199,29;199,29;199,29;;;;0;
1991-08-21;;;;199,39;199,39;199,39;;;;0;
1991-08-20;;;;193,56;193,56;193,56;;;;0;
1991-08-19;;;;188,81;188,81;188,81;;;;0;
1991-08-16;;;;201,87;201,87;201,87;;;;0;
1991-08-15;;;;202,83;202,83;202,83;;;;0;
1991-08-14;;;;201,76;201,76;201,76;;;;0;
1991-08-13;;;;199,75;199,75;199,75;;;;0;
1991-08-12;;;;199,40;199,40;199,40;;;;0;
1991-08-09;;;;199,53;199,53;199,53;;;;0;
1991-08-08;;;;198,12;198,12;198,12;;;;0;
1991-08-07;;;;196,41;196,41;196,41;;;;0;
1991-08-06;;;;198,68;198,68;198,68;;;;0;
1991-08-05;;;;202,86;202,86;202,86;;;;0;
1991-08-02;;;;204,70;204,70;204,70;;;;0;
1991-08-01;;;;205,53;205,53;205,53;;;;0;
1991-07-31;;;;203,56;203,56;203,56;;;;0;
1991-07-30;;;;202,00;202,00;202,00;;;;0;
1991-07-29;;;;200,90;200,90;200,90;;;;0;
1991-07-26;;;;199,90;199,90;199,90;;;;0;
1991-07-25;;;;200,75;200,75;200,75;;;;0;
1991-07-24;;;;204,02;204,02;204,02;;;;0;
1991-07-23;;;;206,09;206,09;206,09;;;;0;
1991-07-22;;;;206,81;206,81;206,81;;;;0;
1991-07-19;;;;207,53;207,53;207,53;;;;0;
1991-07-18;;;;207,16;207,16;207,16;;;;0;
1991-07-17;;;;207,18;207,18;207,18;;;;0;
1991-07-16;;;;208,57;208,57;208,57;;;;0;
